,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,WI-Grn Bay,6.0,6.2,6.6,5.5,7.5,6.6,6.0,6.6,6.7,6.0,6.1,6.1,6.1,6.0,7.9,7.2,6.2,6.1,6.0,6.3,6.8,7.0,5.7,5.7,7.1,7.3
28,Charlotte,6.0,5.7,6.2,5.1,5.8,5.2,6.7,5.4,5.8,5.1,6.5,5.6,5.9,7.3,6.6,7.5,6.9,6.2,5.7,6.1,7.6,6.9,6.9,6.9,5.6,5.5
29,Wake Forest,6.0,6.4,5.1,5.8,7.6,7.6,7.6,7.5,8.4,7.5,7.0,7.7,7.2,8.2,6.5,6.7,6.7,8.1,8.0,6.0,6.5,7.1,7.5,7.6,7.9,7.0
30,Colorado St,6.0,7.1,6.6,7.3,8.8,9.0,8.9,9.2,9.2,7.4,5.6,5.8,6.8,6.3,5.3,5.2,4.9,5.3,6.2,5.6,6.4,5.9,6.3,6.4,5.5,5.8
31,Utah,6.0,5.5,7.0,6.2,5.8,6.0,6.9,7.8,8.1,7.1,5.8,6.9,6.8,6.9,7.1,7.4,6.3,5.4,6.5,6.4,6.1,5.9,6.7,6.3,6.2,6.2
32,Clemson,6.0,7.3,7.5,7.6,7.7,7.0,10.4,9.5,8.4,6.6,6.7,7.6,8.2,6.6,5.9,5.5,5.4,6.3,5.1,5.1,5.7,5.6,6.6,6.5,5.4,5.6
33,Pacific,6.0,6.3,6.8,7.1,5.8,7.2,6.9,7.3,6.8,7.6,6.7,5.8,5.8,5.9,5.6,5.3,6.0,5.1,5.8,5.1,5.0,5.9,5.5,4.7,5.3,5.4
34,N Carolina,6.1,7.8,8.3,9.0,9.2,8.2,8.2,8.9,9.1,7.5,7.9,7.3,8.6,7.5,6.3,6.8,5.9,6.7,5.6,6.2,6.2,6.8,6.9,8.5,6.6,5.7
35,App State,6.1,7.8,7.8,8.5,8.7,8.9,8.3,7.4,7.2,7.2,6.6,8.8,6.9,6.2,6.9,7.2,5.9,6.2,6.4,6.1,6.6,7.2,7.0,6.0,5.4,5.8
36,LA Tech,6.1,6.2,5.3,6.8,5.8,6.6,7.3,7.3,6.7,6.3,5.6,6.6,6.7,8.0,5.4,6.0,5.5,5.9,5.7,5.7,5.7,5.6,5.1,6.0,6.4,6.8
37,Rhode Island,6.2,7.6,8.1,7.6,6.7,6.6,6.7,7.3,5.3,6.7,6.3,6.0,5.0,5.9,7.9,5.9,7.3,6.7,5.8,5.3,5.5,5.8,5.5,7.0,7.3,6.9
38,Minnesota,6.2,7.3,9.3,6.2,7.1,7.8,7.9,8.2,6.9,7.0,6.7,7.4,6.6,6.8,7.8,7.6,6.1,6.4,5.5,5.6,5.5,5.8,5.2,5.3,4.8,6.7
39,Dayton,6.2,6.4,5.8,5.4,5.6,5.8,6.6,4.9,5.0,5.3,4.9,4.9,6.2,4.9,5.3,5.9,4.9,5.3,4.9,4.3,6.0,5.3,5.4,5.6,6.1,5.8
40,Cincinnati,6.2,6.0,5.9,4.3,4.6,4.1,5.7,5.9,5.5,5.1,6.1,6.0,6.5,5.9,5.4,5.8,5.2,5.6,5.1,3.6,5.0,3.8,6.7,6.9,5.7,5.3
41,Santa Clara,6.2,6.3,5.9,6.5,6.1,6.6,6.1,6.4,6.7,6.7,8.0,7.5,7.3,6.6,4.9,6.0,4.6,5.1,5.0,3.9,5.5,6.5,6.6,5.8,5.5,6.3
42,N Hampshire,6.2,8.2,10.0,7.9,8.4,8.3,8.0,8.4,6.9,5.5,6.1,5.7,5.7,5.4,5.6,6.2,6.1,5.6,5.1,6.0,5.7,5.4,6.3,5.4,5.0,5.6
43,S Car State,6.2,6.9,6.2,6.7,8.1,9.3,6.6,6.7,8.5,7.3,7.7,7.3,6.9,7.3,8.2,7.3,7.3,5.9,4.3,4.7,5.6,5.6,5.4,7.5,6.9,7.4
44,Evansville,6.2,8.2,7.3,7.8,7.8,7.7,8.0,6.9,8.3,6.1,6.8,5.7,6.7,6.0,5.8,5.7,6.6,6.5,5.8,5.8,7.2,5.6,5.5,5.2,5.3,5.8
45,W Carolina,6.3,9.6,7.3,8.4,8.5,7.5,9.4,9.7,7.6,6.7,6.5,6.6,6.3,6.7,6.3,7.5,5.9,7.7,6.8,8.6,8.1,8.8,6.7,7.6,6.3,5.5
46,UNLV,6.3,6.8,7.6,6.1,6.1,5.5,6.2,5.7,6.4,4.9,4.7,5.2,4.9,5.0,6.3,6.6,5.2,5.1,6.4,6.1,6.7,6.3,6.3,5.2,5.2,6.0
47,S Methodist,6.3,6.7,6.8,5.1,6.9,7.8,8.1,7.1,7.8,8.1,8.1,6.6,6.3,6.2,6.4,7.5,7.8,6.5,7.3,4.9,4.8,4.8,7.1,7.1,7.1,7.0
48,W Illinois,6.3,7.7,9.7,6.9,7.1,7.6,9.5,7.3,6.8,7.4,6.2,5.7,6.0,6.7,5.6,6.0,7.0,6.0,6.5,6.6,6.8,6.0,5.0,5.7,5.4,4.7
49,Texas Tech,6.3,10.0,7.9,7.6,6.0,5.7,6.1,6.4,7.2,5.2,6.6,7.8,7.0,6.9,7.9,7.7,6.0,7.3,6.5,5.2,6.0,6.4,6.3,5.5,6.8,7.1
50,Harvard,6.3,6.7,8.5,9.2,8.7,9.2,10.6,9.9,8.7,7.6,7.2,6.0,6.4,6.1,5.5,6.3,5.9,5.2,7.4,6.7,6.6,7.6,6.8,--,6.2,7.0
51,California,6.3,5.6,6.1,5.7,5.1,5.8,5.9,6.3,4.6,4.9,6.1,5.1,5.5,5.6,5.0,5.9,4.5,5.0,5.1,4.8,6.0,5.0,4.9,6.0,5.8,5.8
52,Mississippi,6.3,6.6,8.0,6.3,7.3,6.2,6.4,7.1,7.2,6.4,6.3,5.9,5.9,6.0,6.5,5.8,5.4,4.9,6.6,6.8,5.6,6.2,6.1,6.9,6.9,7.1
53,Middle Tenn,6.4,7.1,7.4,7.4,8.4,7.5,6.3,7.0,6.0,7.2,7.3,5.2,5.5,6.5,6.6,6.5,6.3,5.9,5.8,4.6,5.6,7.6,6.9,7.6,6.5,6.5
54,CS Fullerton,6.4,7.1,6.2,6.7,6.5,5.2,6.8,4.5,6.3,6.1,6.1,5.7,5.9,5.6,4.8,5.7,4.9,6.0,5.4,6.1,5.7,5.8,6.1,6.9,5.9,5.8
55,Butler,6.4,6.9,5.6,4.6,4.3,4.9,4.3,4.5,4.5,3.5,4.7,5.9,5.3,5.4,5.9,6.6,5.5,5.4,4.6,5.0,5.1,5.3,5.6,5.1,5.7,6.8
56,Arkansas,6.4,5.8,6.3,6.2,5.8,7.5,5.8,6.5,6.5,7.7,6.7,6.2,6.6,5.9,5.6,5.3,5.4,5.7,5.2,5.2,4.8,6.2,5.0,6.5,6.6,6.7
57,Seton Hall,6.4,7.0,6.8,7.1,8.2,7.8,6.1,7.6,6.7,6.3,6.4,5.8,5.2,6.1,5.9,9.0,5.6,6.7,7.2,7.0,5.9,5.7,6.4,6.6,6.4,6.9
