,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Cal St Nrdge,62.0,62.4,60.0,55.6,56.3,54.4,53.1,55.3,54.6,59.1,61.0,58.0,55.9,52.9,58.3,60.1,55.7,52.6,57.6,57.9,56.0,62.1,59.6,59.2,55.6,53.1
28,LA Monroe,62.0,61.8,64.2,58.5,57.4,62.1,58.7,54.3,55.4,58.3,52.3,54.2,51.9,51.3,53.5,52.2,54.7,56.4,57.7,58.0,57.7,57.9,53.1,56.3,58.1,56.8
29,Loyola Mymt,62.0,61.2,56.5,55.6,57.4,56.7,58.4,60.2,61.4,59.0,54.3,54.4,58.7,58.3,56.0,55.5,59.4,52.0,61.2,58.1,58.5,51.8,50.1,52.1,54.8,58.5
30,N Iowa,62.0,52.2,49.1,49.8,54.2,51.2,53.1,54.9,50.3,50.2,46.5,49.9,49.7,49.8,51.4,51.7,54.3,46.2,51.7,51.8,53.1,54.0,56.3,57.8,55.8,55.5
31,Georgia,61.9,58.0,57.4,58.7,60.1,61.4,52.1,52.9,59.8,60.2,57.7,57.9,53.6,55.2,54.7,48.7,51.2,52.4,55.6,56.0,55.3,55.0,60.5,61.8,53.9,55.4
32,S Methodist,61.8,65.5,65.4,61.0,56.4,57.6,53.6,57.0,54.8,49.5,52.8,54.2,49.5,46.3,47.5,50.7,52.4,51.2,57.6,55.3,55.6,58.9,56.9,58.8,56.9,60.0
33,Ball State,61.8,56.2,58.8,57.3,58.3,60.5,57.1,55.7,52.2,54.1,51.9,50.6,49.4,50.7,50.8,50.9,52.5,52.3,54.7,59.0,59.5,57.0,56.3,60.2,57.2,55.5
34,Kentucky,61.8,58.6,57.0,60.3,62.5,58.4,57.1,57.1,57.7,54.9,50.5,53.8,58.6,57.4,56.2,55.0,55.5,55.1,59.7,63.1,57.2,55.4,55.6,59.0,62.7,60.1
35,Troy,61.6,63.0,53.8,60.3,58.3,65.3,67.2,61.1,61.7,61.5,61.4,61.0,58.2,62.0,61.7,57.8,54.1,53.7,58.5,57.1,57.9,57.1,59.9,56.7,55.6,57.8
36,Maryland,61.5,62.2,61.5,64.4,62.4,62.6,63.2,65.4,60.7,59.8,57.0,62.3,62.1,60.0,54.6,55.9,57.6,50.8,54.1,55.6,53.1,56.1,57.2,52.8,57.0,55.0
37,TN State,61.3,61.7,59.1,65.5,55.9,62.2,60.8,60.3,54.6,56.4,58.5,56.4,57.6,51.4,52.8,55.3,54.2,49.5,56.4,56.0,51.8,57.1,55.1,58.0,57.6,60.0
38,Southern,61.3,65.7,57.3,55.5,64.3,58.4,56.2,49.4,56.2,53.0,51.8,54.2,55.2,52.6,51.3,52.7,55.5,53.9,57.7,56.4,57.5,53.5,56.7,56.7,57.5,57.2
39,Tennessee,61.2,56.8,60.8,60.0,56.7,52.7,54.9,54.1,61.7,62.5,62.7,61.9,58.8,57.1,54.3,53.1,55.2,53.3,62.2,59.2,57.5,60.3,53.4,57.6,60.2,58.3
40,W Carolina,61.1,56.0,64.5,55.2,61.0,58.1,53.2,59.6,52.4,58.7,57.9,59.4,58.9,59.9,58.4,58.2,59.4,57.3,57.3,57.2,57.7,54.6,57.1,58.3,60.7,57.8
41,Alcorn State,61.1,63.5,55.9,59.7,60.7,58.1,52.4,53.3,55.1,56.4,56.7,60.8,55.4,59.4,52.3,54.5,52.6,57.2,56.7,57.6,55.8,54.0,59.3,58.3,58.3,58.4
