,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Saint Louis,4.8,5.1,4.7,4.4,4.2,5.1,5.9,7.2,5.9,7.2,6.2,4.1,3.8,3.8,4.0,4.5,4.2,6.0,7.5,7.3,6.6,6.4,7.1,6.8,6.6,7.7
28,W Kentucky,4.8,5.9,6.8,4.9,5.5,4.6,7.4,5.7,6.2,6.1,5.5,6.3,5.8,6.8,4.7,5.5,5.5,6.6,8.1,8.3,8.0,8.4,7.2,8.4,9.7,9.2
29,S Florida,4.8,5.4,6.7,6.3,7.2,6.6,6.5,5.5,6.1,6.6,6.4,5.4,5.3,5.5,5.1,5.4,6.3,6.9,7.1,9.4,6.8,6.4,6.7,8.0,7.6,7.7
30,Utah,4.8,4.6,6.2,5.6,4.3,4.5,4.0,5.4,6.0,8.6,6.1,5.1,3.9,5.6,7.2,6.5,5.5,4.8,7.3,7.0,7.5,7.5,7.5,7.3,6.9,6.4
31,NW State,4.8,4.2,6.0,5.2,5.9,4.9,5.9,6.2,5.7,6.9,7.4,7.6,6.2,7.3,5.1,5.3,7.5,7.9,7.6,7.6,7.5,8.2,7.8,7.0,7.4,6.1
32,Penn State,4.8,5.1,4.7,4.9,4.9,5.6,7.2,8.0,9.3,8.2,7.6,6.8,7.4,6.9,8.0,6.6,6.9,6.0,7.0,7.5,6.4,6.5,6.4,7.4,7.5,7.2
33,Wichita St,4.9,6.2,4.8,6.3,7.8,7.3,6.0,6.6,6.7,6.2,7.7,5.9,5.1,5.1,5.7,6.0,5.9,5.3,5.9,6.7,8.5,6.9,5.9,7.1,6.6,8.3
34,St Fran (PA),4.9,4.7,5.3,6.4,6.1,5.1,6.0,6.0,6.3,5.6,6.2,6.9,6.6,6.6,6.5,6.7,6.1,6.1,6.7,9.1,8.3,8.0,7.8,7.1,8.4,7.1
35,Vermont,5.0,5.7,6.3,7.1,5.8,6.9,6.3,5.9,5.4,5.6,6.1,5.9,5.6,5.9,5.3,6.0,5.4,4.7,7.1,5.8,7.2,7.1,7.0,6.7,7.1,7.0
36,Georgia St,5.0,6.0,6.6,5.2,6.6,6.6,6.0,6.6,6.2,7.1,6.3,6.7,5.5,5.7,6.4,7.6,7.8,7.2,7.0,8.3,8.7,9.0,6.2,8.5,7.8,6.9
37,Fordham,5.0,4.3,6.0,7.8,8.5,7.3,7.7,4.9,5.7,5.7,5.5,7.3,6.3,7.4,7.6,7.0,7.2,6.7,6.9,6.9,6.6,6.6,7.5,8.7,6.2,5.5
