,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
347,North Dakota,,,,,,,,,,,,,4.9%,6.8%,7.5%,6.1%,4.8%,5.4%,4.4%,4.8%,2.8%,4.0%,3.7%,3.6%,3.1%,4.6%
348,SIU Edward,,,,,,,,,,,,,4.2%,4.9%,3.8%,3.9%,5.4%,7.4%,7.2%,4.7%,4.9%,3.7%,5.1%,7.6%,6.5%,6.8%
349,Seattle,,,,,,,,,,,,,3.3%,3.5%,5.3%,5.4%,5.9%,2.8%,2.8%,3.6%,6.1%,5.8%,5.3%,5.4%,6.6%,5.5%
350,Neb Omaha,,,,,,,,,,,,,,,3.0%,4.2%,4.1%,5.4%,4.6%,5.0%,4.2%,3.2%,5.2%,5.0%,4.3%,4.9%
351,N Kentucky,,,,,,,,,,,,,,,,3.9%,5.7%,5.4%,4.9%,4.4%,5.4%,6.7%,3.3%,2.9%,4.3%,4.9%
352,Incar Word,,,,,,,,,,,,,,,,,6.3%,7.0%,4.2%,7.0%,7.3%,3.1%,4.2%,2.7%,2.9%,5.3%
353,Grd Canyon,,,,,,,,,,,,,,,,,4.8%,5.5%,4.4%,4.3%,6.9%,3.9%,2.2%,5.0%,3.8%,5.2%
354,Mass Lowell,,,,,,,,,,,,,,,,,4.7%,1.9%,3.9%,3.4%,4.6%,4.1%,4.0%,6.8%,7.3%,8.5%
355,Abl Christian,,,,,,,,,,,,,,,,,2.8%,2.3%,4.6%,5.1%,6.9%,5.0%,5.3%,5.6%,3.5%,3.8%
356,Cal Baptist,,,,,,,,,,,,,,,,,,,,,,4.4%,5.6%,4.0%,4.5%,5.2%
357,N Alabama,,,,,,,,,,,,,,,,,,,,,,3.8%,4.1%,5.2%,5.5%,4.9%
358,Merrimack,,,,,,,,,,,,,,,,,,,,,,,5.4%,6.8%,7.0%,7.1%
359,LIU,,,,,,,,,,,,,,,,,,,,,,,5.3%,6.3%,7.5%,5.2%
360,Tarleton State,,,,,,,,,,,,,,,,,,,,,,,,4.6%,4.2%,5.3%
361,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,4.3%,2.6%,2.4%
362,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,3.4%,4.0%,3.7%
363,UC San Diego,,,,,,,,,,,,,,,,,,,,,,,,2.8%,3.1%,3.7%
364,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,1.9%,3.9%
365,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,5.7%
366,TX A&M-Com,,,,,,,,,,,,,,,,,,,,,,,,,,5.1%
367,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,4.8%
368,S Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,3.8%
369,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,3.7%
