,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,S Carolina,0.742,0.276,0.469,0.5,0.583,0.429,0.677,0.606,0.595,0.467,0.438,0.677,0.484,0.467,0.323,0.438,0.412,0.5,0.727,0.694,0.5,0.484,0.581,0.286,0.567,0.344
28,Rhode Island,0.735,0.606,0.167,0.241,0.286,0.613,0.606,0.214,0.5,0.548,0.636,0.677,0.722,0.588,0.226,0.276,0.419,0.688,0.531,0.714,0.765,0.546,0.7,0.400,0.467,0.29
29,Xavier,0.733,0.694,0.625,0.724,0.813,0.813,0.703,0.586,0.656,0.735,0.811,0.771,0.743,0.75,0.639,0.548,0.618,0.622,0.824,0.632,0.829,0.543,0.594,0.619,0.639,0.73
30,Utah State,0.733,0.48,0.8,0.8,0.733,0.71,0.857,0.75,0.71,0.647,0.677,0.853,0.765,0.879,0.556,0.667,0.548,0.567,0.483,0.433,0.485,0.794,0.75,0.679,0.515,0.735
31,Michigan St,0.733,0.868,0.821,0.849,0.6,0.629,0.6,0.788,0.636,0.657,0.75,0.838,0.757,0.546,0.784,0.743,0.763,0.692,0.829,0.571,0.857,0.842,0.71,0.536,0.639,0.618
32,Wm & Mary,0.731,0.269,0.37,0.393,0.321,0.429,0.25,0.276,0.286,0.5,0.484,0.31,0.656,0.29,0.161,0.414,0.613,0.581,0.621,0.517,0.586,0.433,0.645,0.412,0.129,0.355
33,Michigan,0.727,0.387,0.517,0.333,0.357,0.567,0.677,0.419,0.667,0.629,0.313,0.588,0.452,0.588,0.697,0.806,0.757,0.484,0.629,0.684,0.8,0.811,0.613,0.821,0.559,0.529
34,Geo Wshgtn,0.727,0.69,0.5,0.419,0.429,0.414,0.6,0.733,0.9,0.719,0.346,0.357,0.516,0.548,0.323,0.433,0.727,0.629,0.737,0.571,0.455,0.273,0.375,0.294,0.4,0.484
35,Florida Intl,0.724,0.448,0.517,0.25,0.286,0.222,0.12,0.414,0.259,0.37,0.286,0.387,0.194,0.321,0.286,0.563,0.464,0.452,0.367,0.172,0.379,0.533,0.552,0.227,0.433,0.4
36,Coppin State,0.724,0.517,0.5,0.444,0.167,0.393,0.563,0.483,0.4,0.375,0.4,0.387,0.185,0.482,0.407,0.226,0.355,0.233,0.241,0.233,0.156,0.242,0.355,0.409,0.281,0.281
37,W Michigan,0.724,0.423,0.357,0.259,0.567,0.645,0.839,0.594,0.433,0.484,0.625,0.333,0.531,0.606,0.394,0.618,0.688,0.563,0.367,0.484,0.5,0.226,0.367,0.200,0.214,0.179
38,UCLA,0.719,0.71,0.636,0.719,0.636,0.345,0.393,0.621,0.821,0.829,0.919,0.743,0.438,0.677,0.563,0.714,0.757,0.611,0.469,0.861,0.636,0.515,0.6,0.688,0.771,0.838
39,Pacific,0.71,0.48,0.357,0.539,0.643,0.429,0.75,0.871,0.733,0.367,0.667,0.606,0.657,0.483,0.321,0.606,0.515,0.321,0.231,0.313,0.419,0.4,0.677,0.471,0.214,0.452
40,W Virginia,0.71,0.345,0.5,0.571,0.259,0.483,0.548,0.686,0.656,0.743,0.694,0.657,0.816,0.636,0.576,0.406,0.515,0.714,0.743,0.757,0.703,0.417,0.677,0.655,0.485,0.559
41,Ball State,0.704,0.577,0.7,0.571,0.647,0.433,0.464,0.519,0.308,0.29,0.2,0.433,0.483,0.6,0.483,0.483,0.107,0.207,0.588,0.606,0.581,0.469,0.567,0.435,0.433,0.6
42,N Arizona,0.704,0.714,0.607,0.48,0.462,0.5,0.482,0.346,0.621,0.571,0.633,0.24,0.462,0.567,0.111,0.344,0.452,0.595,0.107,0.258,0.133,0.323,0.5,0.273,0.233,0.303
43,Valparaiso,0.7,0.7,0.567,0.733,0.75,0.645,0.567,0.484,0.571,0.5,0.588,0.241,0.414,0.636,0.625,0.758,0.484,0.807,0.8,0.719,0.433,0.419,0.529,0.308,0.4,0.323
44,Temple,0.7,0.686,0.818,0.649,0.559,0.529,0.517,0.533,0.531,0.4,0.618,0.647,0.829,0.765,0.75,0.706,0.29,0.703,0.636,0.5,0.515,0.697,0.452,0.313,0.586,0.5
45,Hawaii,0.7,0.231,0.586,0.548,0.818,0.613,0.625,0.552,0.607,0.581,0.367,0.433,0.31,0.581,0.467,0.516,0.621,0.606,0.813,0.448,0.536,0.552,0.552,0.474,0.577,0.656
46,Illinois,0.697,0.438,0.688,0.771,0.743,0.781,0.788,0.949,0.788,0.657,0.457,0.706,0.583,0.588,0.531,0.629,0.571,0.576,0.441,0.559,0.419,0.364,0.667,0.774,0.697,0.606
47,App State,0.692,0.692,0.69,0.321,0.308,0.615,0.276,0.556,0.429,0.733,0.567,0.4,0.647,0.483,0.379,0.448,0.192,0.414,0.29,0.25,0.419,0.276,0.516,0.520,0.516,0.448
48,Arkansas St,0.69,0.571,0.37,0.536,0.448,0.423,0.577,0.5,0.357,0.516,0.286,0.393,0.517,0.5,0.394,0.6,0.567,0.357,0.31,0.613,0.3,0.367,0.467,0.381,0.577,0.333
49,Tennessee,0.69,0.7,0.781,0.667,0.467,0.586,0.517,0.452,0.733,0.686,0.857,0.618,0.757,0.559,0.546,0.606,0.639,0.5,0.441,0.484,0.743,0.833,0.548,0.667,0.771,0.694
50,Gonzaga,0.688,0.794,0.743,0.781,0.875,0.727,0.903,0.839,0.879,0.677,0.758,0.818,0.788,0.706,0.788,0.912,0.8,0.919,0.771,0.949,0.865,0.892,0.939,1.000,0.875,0.833
51,St Johns,0.677,0.757,0.758,0.483,0.625,0.618,0.222,0.333,0.444,0.516,0.367,0.471,0.515,0.636,0.406,0.515,0.606,0.625,0.226,0.424,0.469,0.618,0.531,0.593,0.531,0.546
52,Youngs St,0.667,0.5,0.423,0.607,0.115,0.259,0.259,0.115,0.222,0.414,0.25,0.321,0.214,0.25,0.483,0.484,0.414,0.276,0.3,0.344,0.2,0.333,0.516,0.478,0.531,0.688
