,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
26,Richmond,4.1,1.3,2.4,3.8,0.7,2.7,4.3,0.0,-3.0,-4.5,-3.8,0.0,2.5,4.2,-0.2,0.0,2.0,2.2,-0.3,0.7,-0.6,-2.7,2.4,+2.4,3.1,2.4
27,W Virginia,4.1,-2.2,-1.1,-1.1,-4.4,-0.1,-1.8,0.0,2.5,2.4,6.3,4.1,6.0,0.5,1.6,-1.6,0.4,3.3,4.9,5.9,2.4,-2.4,4.5,+2.8,-1.2,0.6
28,Iowa,4.0,3.0,-0.6,3.4,2.0,1.4,0.9,2.8,2.7,1.7,-0.1,1.3,-1.5,-1.1,0.6,2.5,3.0,0.5,3.0,0.3,1.8,1.9,3.9,+4.4,4.8,1.8
29,Penn State,4.0,-0.1,1.1,2.1,-3.0,-3.5,-2.8,-3.4,1.3,-0.7,-0.9,1.6,0.5,1.6,-1.0,-4.0,-1.1,0.1,-1.3,0.9,2.4,-1.2,0.8,+1.0,2.1,0.3
30,Illinois St,4.0,0.0,-1.5,4.2,-0.1,-3.8,-1.9,0.0,-2.2,0.8,1.6,3.2,4.6,-2.5,3.5,1.6,0.0,0.9,2.0,0.6,-1.4,0.5,-3.2,-0.6,1.5,-0.3
31,IL-Chicago,4.0,-3.5,-1.7,-1.0,-1.8,1.6,2.9,0.0,-0.7,0.5,0.9,-1.0,-4.0,-3.3,-2.7,1.2,-5.7,-0.9,-4.2,-1.3,2.2,-2.7,-1.8,-0.4,-2.3,-2.8
32,Marquette,3.9,1.6,1.9,1.3,7.8,4.8,0.5,0.9,1.4,2.5,7.1,4.5,2.8,1.9,6.2,2.1,0.8,-1.1,-0.9,0.6,1.3,2.9,3.6,-0.4,2.4,4.5
33,Col Charlestn,3.9,7.1,2.3,1.1,5.2,1.5,3.1,4.0,0.7,4.5,0.0,0.8,-1.5,2.1,0.8,1.7,-1.2,-3.1,1.5,4.0,4.9,2.0,1.0,+1.6,-0.1,4.0
34,Utah,3.8,7.4,2.0,0.3,1.8,3.6,5.4,5.8,0.9,-0.6,1.9,4.2,0.8,-1.2,-6.5,-1.8,2.8,6.7,1.8,2.7,1.9,-0.8,0.0,-1.3,0.0,2.7
35,LIU-Brooklyn,3.8,-1.1,-2.9,-3.8,-6.9,-2.4,-2.6,-3.4,-0.9,-4.5,1.1,-0.1,-0.5,3.5,1.1,3.2,-3.4,-1.4,-1.9,-0.6,-1.1,1.1,,,,
