,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Siena,9.5,9.9,9.0,6.6,5.6,6.9,6.6,7.0,8.2,7.6,9.4,8.8,8.7,6.6,5.8,5.6,5.9,7.5,6.2,5.9,4.8,5.7,5.3,5.5,6.2,5.7
28,Tulane,9.5,10.3,9.6,7.9,7.9,7.4,6.0,5.4,6.2,7.1,6.5,7.6,7.7,7.0,6.9,6.6,4.7,6.1,6.4,6.2,5.0,4.7,8.5,7.5,7.9,8.5
29,W Michigan,9.5,8.0,6.8,7.3,7.9,9.1,8.9,6.3,6.6,6.2,5.0,5.3,6.9,5.7,4.5,5.5,5.7,6.4,5.5,5.5,6.5,4.5,4.6,4.2,5.2,4.5
30,Syracuse,9.4,9.9,8.9,9.6,10.9,8.4,7.6,8.1,8.9,8.3,8.3,7.3,9.6,8.7,9.1,9.1,8.0,8.3,8.1,8.1,7.0,8.2,7.4,8.1,7.0,7.5
31,Duke,9.4,9.0,9.8,10.5,10.0,8.6,9.2,8.7,9.4,7.3,8.7,8.4,6.7,7.3,6.2,6.4,7.0,7.2,6.3,6.1,7.4,9.1,8.3,8.2,6.4,5.7
32,Austin Peay,9.3,6.9,6.1,5.7,6.9,7.0,6.6,6.9,7.0,7.6,9.6,6.4,5.9,8.3,7.2,6.2,6.8,6.3,6.9,5.1,6.0,7.0,6.3,6.4,6.2,6.6
33,San Francisco,9.3,7.0,7.6,5.2,5.5,5.2,7.5,8.0,6.5,7.9,6.1,5.1,5.1,5.3,8.2,5.3,5.1,5.8,5.3,6.7,5.4,6.1,7.0,7.2,7.7,6.6
34,Creighton,9.3,9.2,7.9,8.7,8.2,8.3,6.7,6.9,7.9,6.4,7.4,8.0,5.1,4.3,4.8,4.8,4.0,4.5,6.0,6.1,5.5,6.7,6.5,7.0,5.5,5.0
35,Florida,9.3,10.0,9.9,8.7,9.9,7.4,6.5,7.1,7.6,6.7,6.2,8.2,7.1,6.0,6.3,7.2,7.1,6.9,6.5,7.6,6.9,7.1,5.7,7.2,8.4,6.8
36,Maryland ES,9.3,7.3,7.3,6.9,6.0,6.3,5.2,5.5,6.0,6.5,7.3,5.0,5.4,6.2,5.5,6.7,6.4,7.5,5.7,5.3,4.5,5.7,7.1,--,9.4,10.2
37,Southern,9.2,10.9,9.8,7.5,8.7,6.4,8.8,6.3,7.8,8.0,7.1,5.4,5.7,5.4,5.5,6.9,5.6,6.8,7.2,5.2,5.4,6.6,6.3,8.2,9.9,8.2
38,Akron,9.1,7.7,7.9,5.6,5.8,7.3,7.4,6.8,5.9,7.7,7.2,7.4,6.2,6.3,7.2,7.0,6.6,6.3,5.4,5.5,6.0,5.6,4.9,4.7,5.5,5.8
39,Navy,9.1,10.8,11.6,9.6,8.7,7.0,7.7,8.3,7.8,7.1,9.1,6.6,7.0,9.0,7.2,5.9,6.4,5.7,5.4,7.1,6.3,5.4,5.1,8.2,6.7,6.8
40,Arizona St,9.1,8.5,8.3,6.3,7.2,5.3,5.6,6.3,6.4,5.9,6.9,5.7,6.5,6.3,5.6,6.3,5.1,5.9,5.3,5.9,6.5,6.3,8.0,7.3,6.7,7.1
