,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Texas Tech,7.7,5.9,5.8,4.9,4.6,3.2,3.7,4.4,5.4,6.1,5.1,7.0,5.6,5.6,4.6,4.8,4.4,5.3,5.8,6.6,6.8,7.2,7.2,6.4,6.1,7.2
28,Michigan,7.7,5.9,6.0,4.6,6.4,6.3,5.6,5.0,6.6,4.9,7.1,8.7,7.0,8.1,8.1,7.4,8.6,7.7,9.6,9.5,8.7,7.8,8.0,7.4,6.3,7.7
29,Portland St,7.7,8.6,6.4,7.2,8.4,4.7,4.1,5.3,7.1,6.7,9.0,9.7,8.1,7.0,5.7,5.2,6.3,6.5,5.1,7.4,8.3,7.1,6.6,6.7,6.1,7.0
30,Arizona,7.7,4.9,4.6,5.4,7.6,7.1,7.3,6.8,4.3,5.5,6.6,6.1,6.3,7.8,7.4,7.7,5.4,5.1,6.5,6.6,6.8,7.3,7.3,6.7,7.8,8.4
31,SE Missouri,7.7,5.7,6.4,6.6,6.5,7.1,7.4,6.4,7.4,8.1,6.7,5.0,5.5,4.9,5.9,7.7,6.5,6.3,5.0,8.0,9.5,8.4,6.2,7.6,8.9,8.0
32,Jksnville St,7.7,5.3,5.9,5.9,6.0,7.7,7.1,6.0,7.6,5.8,8.5,6.0,5.9,5.8,4.3,5.5,5.6,5.7,7.9,7.3,5.7,5.8,6.6,7.9,8.9,8.5
33,Maine,7.7,7.5,8.0,6.3,5.6,7.0,7.0,6.8,7.5,6.7,5.4,6.0,6.4,6.2,5.5,5.1,6.1,6.6,7.6,6.4,6.7,6.3,6.6,7.1,6.7,6.7
34,N Mex State,7.6,6.1,6.3,5.8,6.1,6.0,6.2,6.7,5.7,5.9,6.1,6.9,8.5,5.4,4.6,3.9,5.1,4.7,5.2,7.4,7.7,9.3,8.8,8.9,7.6,7.3
35,Texas,7.6,4.8,5.6,6.3,5.9,5.8,6.9,7.8,7.3,8.8,7.9,4.7,5.7,5.6,5.8,5.1,5.1,6.2,7.0,5.5,7.2,8.8,8.0,8.6,6.6,7.2
36,Rhode Island,7.6,3.9,4.3,4.4,5.6,5.6,5.3,5.1,4.4,7.8,7.4,6.3,6.5,7.1,5.3,6.3,4.6,4.4,6.7,6.2,6.9,5.2,5.7,5.7,5.3,5.4
37,Richmond,7.5,6.3,7.3,7.7,7.8,6.5,5.7,5.8,6.4,6.9,7.0,6.8,7.1,7.8,7.8,8.3,6.3,6.6,7.5,7.7,6.9,7.6,8.0,7.1,7.8,7.9
38,Duke,7.4,7.5,8.4,10.4,8.6,7.4,7.1,8.8,7.6,6.0,9.1,7.2,7.6,7.9,8.1,7.5,9.0,7.3,9.1,8.4,8.4,7.3,7.0,8.4,7.9,6.8
39,Stanford,7.4,5.8,7.8,7.2,6.9,6.8,5.3,4.0,4.9,5.6,5.5,7.3,6.6,6.4,6.8,7.0,5.8,6.6,5.7,5.2,6.7,6.7,7.1,5.4,7.3,8.1
40,U Penn,7.4,7.7,6.5,7.7,8.3,9.0,8.7,6.6,6.7,6.0,5.0,5.9,6.5,6.6,7.1,5.5,5.0,5.5,7.0,8.4,8.6,8.9,8.6,--,8.1,8.0
41,Boise State,7.4,5.9,4.8,5.7,5.4,5.2,6.5,7.8,7.9,7.2,8.0,6.3,5.9,6.8,7.6,7.5,7.5,8.6,8.0,7.9,9.4,7.7,8.1,7.9,7.1,7.7
42,Arkansas,7.3,8.7,8.6,8.8,8.0,6.1,6.4,6.1,5.6,6.1,5.9,6.7,6.3,6.6,6.4,6.0,7.4,6.6,6.8,6.5,7.7,7.6,7.6,7.3,6.3,5.0
43,Air Force,7.3,8.8,6.5,8.4,7.4,7.8,8.4,8.9,8.8,9.0,7.1,6.5,5.6,6.7,6.3,8.4,7.1,7.2,6.3,7.9,7.9,7.3,8.6,7.0,7.2,8.2
44,St Josephs,7.3,5.0,7.4,7.9,7.8,8.0,9.8,7.6,7.1,5.6,7.3,5.1,6.2,6.3,6.6,7.2,7.4,5.4,7.0,5.6,8.0,8.5,9.0,9.6,8.9,8.8
45,Villanova,7.3,7.1,6.3,6.0,5.8,6.6,7.1,7.0,8.7,7.6,6.9,6.5,7.6,6.4,6.1,6.0,8.9,9.1,8.7,8.6,11.6,10.6,9.9,9.2,9.3,8.7
46,Creighton,7.3,7.6,8.8,7.8,7.2,7.9,6.0,8.6,7.1,6.2,8.1,7.9,7.4,7.2,8.2,8.5,10.2,7.9,8.1,8.6,10.3,10.3,9.8,9.5,6.7,8.6
47,Arkansas St,7.2,5.4,6.7,5.5,6.1,7.9,7.0,5.9,5.7,7.4,6.9,4.7,5.2,4.9,5.2,6.3,8.9,5.6,5.9,6.8,7.2,7.2,5.8,6.1,5.6,6.2
48,S Methodist,7.2,6.4,6.4,5.2,5.6,5.6,6.2,4.1,4.8,7.0,6.3,6.1,5.9,7.7,7.6,3.5,4.7,4.3,6.5,8.2,8.5,8.2,7.9,7.6,8.5,6.3
49,Mt St Marys,7.2,6.5,6.3,5.3,5.3,6.6,6.8,7.3,5.8,4.9,6.0,4.8,5.9,4.7,5.5,8.6,9.0,7.6,6.8,7.3,9.8,7.2,6.6,6.6,5.8,6.7
50,Monmouth,7.2,4.9,6.3,6.5,6.0,6.3,7.2,6.6,6.4,6.3,7.2,6.3,6.3,5.9,6.1,5.5,5.5,5.2,7.8,8.9,7.2,4.8,7.3,7.7,6.4,4.1
51,Harvard,7.2,7.2,6.7,7.8,5.8,7.8,5.9,6.1,5.4,4.8,5.5,6.1,6.4,6.8,5.9,6.4,5.8,4.7,7.4,8.2,8.1,8.4,7.2,--,8.3,6.2
52,W Michigan,7.2,5.2,5.7,6.4,8.0,5.8,7.0,7.5,4.3,7.2,7.0,6.3,5.8,5.6,6.0,5.4,5.8,6.8,5.8,6.6,7.3,6.8,7.0,7.0,8.5,7.8
53,Temple,7.2,6.5,8.3,7.6,8.8,7.9,7.0,6.1,7.0,8.1,7.8,7.6,5.8,6.1,7.1,7.1,6.5,6.4,7.7,9.0,8.2,7.5,6.7,7.2,6.7,8.0
54,N Iowa,7.2,6.2,4.2,4.7,7.5,7.8,7.2,7.1,6.7,6.2,5.5,6.4,6.7,7.3,7.8,7.6,8.5,7.3,8.2,7.6,7.1,8.1,9.0,7.3,8.5,7.3
55,E Michigan,7.2,4.6,5.4,5.0,4.9,4.8,4.2,5.7,6.4,7.5,8.3,4.7,6.3,6.8,4.8,4.9,5.0,6.6,5.9,6.3,6.5,5.8,5.3,6.9,6.4,6.2
56,Chattanooga,7.2,6.0,6.4,6.8,5.6,7.5,7.4,5.3,5.8,7.4,7.2,8.0,8.1,8.3,7.2,5.4,6.4,6.6,7.3,6.9,8.1,9.1,8.5,8.3,7.6,11.2
57,Lafayette,7.2,7.9,7.8,7.7,7.6,6.9,8.0,6.7,7.8,8.3,10.0,7.7,8.1,7.6,9.1,8.1,7.3,7.8,8.2,7.1,8.5,9.3,8.3,8.6,8.7,8.8
58,Tennessee,7.1,6.7,8.1,7.8,6.5,6.2,5.5,7.2,8.8,9.3,8.7,6.7,5.9,5.1,6.5,5.2,5.4,6.1,7.4,5.9,7.8,7.1,6.0,6.6,8.7,7.7
59,Illinois St,7.1,5.4,5.6,5.2,5.3,6.5,5.7,6.4,6.1,7.5,7.3,8.7,5.8,4.9,8.5,7.3,7.1,6.0,7.4,8.6,9.0,7.2,8.5,7.8,7.9,7.3
60,VA Military,7.1,5.3,6.2,5.8,7.5,4.9,4.3,4.4,5.9,12.4,11.3,13.3,11.2,11.0,8.3,8.8,8.4,10.9,8.6,8.3,7.6,9.9,10.6,10.0,12.0,8.9
61,Belmont,7.1,8.9,9.7,10.3,9.4,8.2,9.8,9.7,8.4,8.8,10.4,10.2,7.9,9.3,8.9,8.3,8.9,9.8,10.6,10.2,11.5,10.3,9.5,9.1,8.4,9.6
62,Mississippi,7.0,5.8,5.8,6.3,7.7,6.3,5.9,6.8,6.0,6.8,7.8,6.9,8.2,7.6,4.4,6.6,7.8,6.5,7.9,7.9,7.8,8.2,6.0,5.2,6.9,6.2
63,Oregon,7.0,7.5,5.7,7.4,8.8,8.8,9.0,6.3,6.9,9.5,8.7,7.6,5.8,7.0,7.2,5.2,7.6,7.4,6.9,8.6,9.0,7.8,8.7,8.4,7.1,7.1
64,GA Tech,7.0,7.1,8.1,8.7,8.4,5.7,7.0,5.9,5.5,6.3,6.7,5.1,5.8,6.2,5.1,5.6,5.2,4.2,5.9,4.5,4.9,5.5,5.1,7.4,6.9,7.9
65,Samford,7.0,8.9,9.7,9.7,8.6,9.0,9.0,8.9,9.3,7.8,8.3,8.0,8.3,8.7,8.0,6.3,4.8,6.2,5.3,7.6,9.1,7.8,6.6,7.0,8.4,9.3
66,LA Lafayette,7.0,4.7,5.9,7.1,4.5,6.8,8.1,6.5,5.8,5.0,6.9,6.9,5.6,5.1,5.3,7.0,7.1,6.3,6.5,7.0,8.5,8.6,7.8,7.0,7.2,6.6
67,Iowa,7.0,6.3,6.2,6.0,5.9,4.7,5.7,6.4,5.6,6.3,6.9,8.1,7.5,4.7,5.7,5.4,5.8,5.6,8.2,8.8,7.6,8.1,7.9,9.7,9.2,8.0
68,Penn State,6.9,7.3,6.7,8.4,7.6,6.1,5.0,6.0,6.2,6.5,7.3,7.4,6.7,6.4,6.3,5.0,6.2,6.7,6.6,7.0,7.5,6.9,8.0,8.8,8.0,10.4
69,Pacific,6.9,8.1,6.1,6.6,7.5,6.8,5.9,6.5,6.6,6.8,7.4,7.3,6.5,7.5,6.5,6.5,6.5,6.6,6.6,5.5,4.6,6.2,5.4,5.1,5.9,8.7
70,Louisville,6.9,6.4,5.4,6.1,8.2,8.5,8.0,9.5,8.2,7.3,7.6,8.2,7.9,8.8,5.8,5.6,7.8,5.5,6.0,7.0,7.8,8.6,8.2,5.4,7.7,6.3
71,Campbell,6.9,6.7,7.4,5.3,6.0,6.3,5.8,4.8,9.9,7.5,6.5,5.9,4.7,3.8,5.2,4.1,8.8,8.1,6.5,7.5,8.9,9.4,7.6,7.0,6.7,6.6
72,Bowling Grn,6.9,4.6,4.5,4.6,6.0,6.3,6.6,6.5,7.1,6.6,5.0,6.2,4.2,4.3,4.9,4.9,3.6,6.8,5.7,6.8,7.3,8.1,7.9,8.1,7.9,7.2
73,Tulsa,6.9,6.5,7.1,7.8,7.5,6.7,5.9,5.5,5.3,6.7,6.7,5.5,4.9,6.7,5.7,5.9,5.8,5.5,6.8,7.3,8.0,6.9,5.9,6.4,6.8,7.7
74,F Dickinson,6.9,5.2,5.9,6.9,6.7,8.2,7.0,6.6,6.4,6.5,8.1,4.1,4.5,5.2,3.8,6.1,7.1,6.9,7.3,6.6,6.8,7.8,7.4,8.1,6.8,7.9
75,IL-Chicago,6.9,4.5,4.2,4.5,7.3,6.3,4.9,5.2,4.1,7.4,7.0,6.4,5.9,4.6,6.5,6.4,5.6,5.9,4.4,7.7,6.9,9.4,7.2,8.1,9.0,8.0
76,TX-Pan Am,6.9,8.0,6.8,7.9,6.8,5.0,7.1,6.8,4.3,7.2,7.8,4.5,6.4,7.6,7.4,6.1,4.8,4.0,7.0,8.2,6.0,5.3,5.7,5.9,6.3,6.6
77,Wm & Mary,6.8,6.5,6.7,5.6,6.1,6.2,6.3,5.1,5.1,6.7,7.9,6.7,8.9,7.7,6.7,7.3,8.6,8.6,7.7,9.0,10.4,8.3,7.5,5.8,6.8,7.5
78,Colgate,6.8,4.1,3.9,4.5,4.9,6.7,6.4,6.7,6.1,5.1,5.9,4.9,6.6,5.5,6.6,6.9,8.4,7.6,8.7,8.2,9.4,9.3,10.0,9.3,9.8,8.1
79,McNeese St,6.8,7.2,6.3,7.1,5.5,6.9,5.6,5.8,6.2,3.7,5.2,5.0,5.9,6.9,5.2,5.0,6.6,6.3,7.0,6.8,7.0,5.3,7.5,7.6,6.2,7.5
80,Middle Tenn,6.8,6.4,7.0,6.7,6.7,6.5,6.1,6.2,6.6,4.5,5.5,4.6,5.8,5.2,4.7,5.3,5.3,6.8,8.1,6.4,7.2,6.6,8.2,7.4,8.1,6.9
81,Bucknell,6.8,5.5,4.0,3.8,5.4,5.9,4.8,6.5,6.1,6.1,6.8,7.1,6.5,6.9,5.6,4.6,6.5,6.7,7.4,8.2,8.0,9.4,8.2,7.3,7.9,6.9
82,TX Southern,6.8,3.8,6.4,6.4,6.5,5.8,3.8,4.7,5.3,3.2,6.9,3.8,4.0,5.8,5.5,8.9,6.2,5.3,6.7,5.9,7.8,7.2,5.2,4.5,5.6,4.7
83,Purdue,6.8,5.4,6.1,6.4,7.4,5.2,5.0,4.8,5.5,6.4,7.4,6.6,5.3,6.9,8.1,4.3,5.5,5.7,7.7,9.0,9.5,10.1,7.2,7.2,8.5,6.8
84,Drake,6.7,7.2,5.5,7.2,8.0,5.5,6.3,5.9,5.2,6.0,9.4,7.9,8.6,6.5,6.3,8.5,7.7,6.4,7.0,8.8,8.3,8.0,7.3,6.9,6.6,7.6
85,GA Southern,6.7,7.2,6.3,5.9,5.9,6.2,7.3,6.6,6.7,4.9,6.0,7.0,7.3,4.4,5.3,5.5,6.8,7.2,8.8,9.0,7.8,6.1,7.5,7.5,5.8,6.2
86,Missouri,6.7,6.2,9.4,8.5,9.1,7.5,6.9,6.5,6.1,8.2,6.7,6.9,7.6,7.1,8.4,6.3,5.8,6.0,5.6,7.0,9.5,8.3,6.6,7.1,5.1,9.3
87,NE Illinois,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
88,Auburn,6.6,7.1,6.7,6.3,5.8,5.8,6.6,8.4,6.9,7.4,7.6,7.8,8.3,4.9,5.0,5.7,5.7,7.3,8.8,9.0,9.5,11.5,8.1,9.1,8.1,6.5
89,Troy,6.6,8.2,8.8,8.5,8.9,9.5,11.5,11.1,11.4,9.4,10.6,8.5,7.0,8.6,8.6,6.4,7.2,6.6,6.9,8.1,8.8,7.8,8.4,6.3,7.2,7.4
90,Evansville,6.6,6.6,5.2,6.1,5.9,5.9,7.2,8.2,6.5,7.4,5.2,3.2,4.6,4.6,5.6,5.8,4.3,4.3,4.8,3.7,5.6,8.2,7.5,9.6,8.1,6.2
91,Rutgers,6.5,6.2,5.9,5.3,5.7,6.5,7.0,5.8,7.0,5.2,5.5,5.3,6.5,5.5,5.3,4.8,5.9,4.8,5.0,4.5,4.3,6.2,5.4,6.1,6.2,5.7
92,Illinois,6.5,5.2,7.2,7.1,7.3,7.0,7.0,8.8,7.3,6.9,5.6,5.5,6.1,6.8,5.8,7.7,6.0,7.2,8.1,7.5,7.3,7.8,5.5,6.5,8.9,7.6
93,Liberty,6.5,5.5,3.1,2.3,4.3,5.5,5.8,5.7,4.9,4.7,8.9,9.0,5.4,5.1,3.9,6.9,5.6,4.5,8.8,9.2,8.0,8.5,7.2,9.9,10.2,9.9
94,UC Irvine,6.5,7.0,6.1,6.0,5.5,5.9,5.4,5.5,8.5,6.1,6.7,7.0,5.8,7.3,7.8,6.6,5.7,6.3,6.3,7.1,6.2,6.8,6.2,4.7,5.0,7.0
95,BYU,6.5,6.3,5.8,5.6,5.7,6.6,5.5,7.0,7.0,7.4,8.1,7.3,8.1,8.3,6.8,5.8,5.2,8.4,9.0,6.8,6.4,7.1,10.3,8.4,7.7,7.6
96,Coppin State,6.4,7.5,5.9,4.7,4.0,4.3,6.5,3.4,6.3,5.2,4.1,5.6,5.1,7.8,9.7,7.5,7.4,9.3,7.8,6.9,8.3,7.3,8.0,8.8,8.6,8.4
97,Iona,6.4,4.7,4.7,4.9,4.9,5.7,5.4,4.9,6.3,3.7,5.7,5.6,7.3,8.1,7.7,8.3,10.2,9.8,9.9,9.8,9.5,9.0,7.7,7.3,7.1,7.1
98,TX Christian,6.4,6.9,8.2,8.4,7.3,7.1,6.4,8.2,6.6,5.9,7.3,5.8,7.7,6.5,7.3,3.7,4.7,4.5,5.7,7.2,8.3,7.6,8.5,6.7,5.5,5.6
99,Marquette,6.4,6.4,6.2,4.8,5.2,5.9,7.5,7.7,8.5,6.5,7.2,6.9,8.1,5.2,5.7,4.2,4.8,6.5,5.9,10.5,11.0,9.4,10.0,6.6,8.6,8.9
100,Kentucky,6.4,6.1,5.8,7.2,6.9,5.8,6.4,6.4,7.6,6.8,5.9,5.6,6.1,7.4,5.6,5.6,5.2,5.2,6.8,7.0,5.3,5.8,5.1,6.4,6.1,6.3
101,CS Fullerton,6.4,5.8,6.1,5.3,5.9,4.8,7.0,7.9,7.7,8.3,8.6,8.0,6.6,6.4,8.6,8.2,6.2,5.4,6.5,6.0,5.1,5.3,6.0,8.0,5.5,7.4
102,Kent State,6.4,5.4,5.0,5.2,6.1,7.3,8.4,7.1,7.0,5.8,5.8,5.6,5.7,5.5,6.0,6.8,7.4,7.3,5.8,7.0,7.4,8.1,8.1,8.2,7.3,7.7
103,Maryland BC,6.4,5.5,4.0,4.8,4.4,3.5,4.0,5.1,5.9,5.3,7.3,3.6,5.0,6.1,5.1,6.7,5.9,5.1,6.8,9.2,9.8,7.2,6.4,7.0,9.3,8.0
104,Old Dominion,6.4,6.4,4.0,5.6,6.2,5.9,6.7,6.0,6.6,7.1,6.2,4.8,4.6,4.9,5.8,4.6,5.3,5.9,4.2,5.1,7.1,7.5,5.8,5.0,4.3,5.3
105,St Fran (NY),6.4,8.3,8.5,6.9,6.8,7.4,9.2,7.8,6.5,4.1,6.1,8.8,6.6,7.0,8.0,6.9,6.0,5.4,7.3,7.2,8.7,8.0,6.1,6.2,7.0,6.7
106,WI-Milwkee,6.4,4.9,8.8,8.7,9.1,7.8,6.9,8.0,6.6,7.2,6.5,8.2,7.6,7.6,7.7,6.7,7.1,6.8,9.3,7.5,7.2,7.4,7.6,7.2,6.2,7.8
107,Central Mich,6.4,5.3,6.6,4.6,4.3,6.7,7.2,6.8,5.0,6.7,7.1,5.8,7.7,5.1,6.3,8.1,7.9,9.8,9.8,12.6,9.5,8.7,7.4,6.2,7.7,6.2
108,E Carolina,6.3,6.0,7.0,8.3,6.8,4.2,5.0,4.3,6.0,6.3,7.9,8.8,5.4,7.4,7.7,7.6,8.5,7.2,7.3,6.5,6.1,5.0,5.2,5.6,7.5,7.5
109,Weber State,6.3,6.6,6.4,4.5,6.6,6.1,6.2,5.3,5.0,5.6,6.4,7.8,8.3,7.8,8.3,6.9,7.2,7.1,7.9,8.8,8.8,7.2,6.0,7.6,7.4,6.4
110,Davidson,6.3,7.0,6.6,5.9,7.4,9.2,7.5,8.8,8.5,9.2,8.8,8.6,8.7,7.7,7.6,7.5,8.3,10.6,9.6,9.1,10.7,9.1,9.1,9.4,8.7,6.5
