,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Rhode Island,4.8,4.6,3.6,3.4,2.7,2.5,3.2,3.7,3.0,3.1,4.0,3.5,5.1,3.9,3.9,4.0,5.2,5.6,5.0,5.9,3.5,3.9,3.9,4.6,6.0,3.8
28,Morgan St,4.7,5.3,3.0,2.6,2.5,2.0,1.7,2.2,3.3,3.4,4.7,3.1,4.1,3.8,4.5,5.3,5.1,2.9,2.1,3.3,2.7,1.6,3.9,3.7,3.3,4.3
29,Fairfield,4.7,3.3,2.4,4.1,6.9,5.4,4.2,6.3,2.4,3.1,3.2,3.7,5.1,3.6,4.1,3.9,3.7,3.5,4.1,3.0,2.9,2.0,2.8,2.3,2.9,3.5
30,Arkansas,4.6,4.1,3.5,4.0,3.6,3.5,3.9,5.2,6.1,6.3,5.2,2.9,4.1,5.9,5.0,5.0,5.6,4.7,5.2,4.7,4.7,5.0,3.8,4.9,4.1,5.1
31,Villanova,4.6,4.5,4.8,4.3,3.9,3.2,4.1,5.6,4.8,3.3,2.8,3.4,4.0,3.8,3.2,3.4,4.1,4.1,3.4,3.0,4.1,2.9,2.6,1.9,2.2,1.7
32,Creighton,4.5,2.8,2.3,3.6,3.9,4.5,3.9,3.3,3.1,2.5,3.6,3.9,3.3,3.1,2.3,2.6,1.4,2.3,3.1,2.9,2.5,2.6,2.5,3.4,4.3,4.1
33,Austin Peay,4.5,3.3,3.8,4.5,4.1,4.6,3.9,2.5,3.0,2.7,2.1,3.2,3.1,4.1,3.5,4.9,5.2,3.8,2.7,2.5,2.8,3.3,3.0,1.9,2.0,3.0
34,Florida,4.4,3.8,3.8,3.7,4.5,3.9,3.2,4.6,5.3,4.9,3.1,2.7,2.8,3.5,3.4,3.2,3.1,3.6,4.2,4.6,4.8,3.6,3.9,5.2,5.0,5.2
35,Jackson St,4.4,4.2,4.6,2.3,2.6,2.5,3.7,4.4,4.4,3.1,3.1,2.7,3.6,3.0,3.1,2.2,3.2,2.5,3.5,2.6,2.7,3.8,3.6,3.3,3.9,2.5
36,TX-San Ant,4.4,4.3,4.0,2.7,2.8,2.2,2.8,4.4,3.8,2.8,1.3,2.0,1.5,2.2,3.0,1.3,1.8,2.4,2.4,1.9,2.3,2.5,2.2,3.0,2.2,2.2
37,Cincinnati,4.4,4.5,6.6,3.5,4.3,4.3,5.3,6.8,5.7,1.9,2.3,3.1,3.1,3.7,4.6,6.1,5.5,5.4,5.8,4.8,5.4,4.4,4.9,3.8,3.8,3.9
38,Wm & Mary,4.3,3.4,4.1,3.5,1.4,2.5,2.0,2.6,1.7,1.9,2.0,2.3,2.5,3.0,2.0,2.9,3.1,4.0,4.0,4.5,3.7,4.4,3.8,3.3,2.9,1.9
39,Temple,4.3,3.6,4.2,3.7,3.2,3.8,2.9,3.1,2.5,2.9,4.4,4.1,3.0,4.6,4.2,3.7,3.5,4.5,3.1,4.0,3.3,2.2,3.0,2.4,4.7,4.0
40,VA Tech,4.3,5.5,5.0,4.6,5.0,4.3,3.4,4.7,4.3,4.5,4.8,4.6,4.6,3.7,3.2,3.9,4.5,2.9,3.6,2.8,2.2,2.2,3.0,3.9,3.2,3.1
