,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Oral Roberts,0.485,0.526,0.514,0.468,0.474,0.499,0.491,0.446,0.453,0.444,0.458,0.474,0.514,0.471,0.516,0.538,0.474,0.461,0.446,0.56,0.598,0.574,0.499,0.443,0.396,0.46
28,Coppin State,0.485,0.534,0.566,0.509,0.585,0.56,0.564,0.608,0.597,0.603,0.603,0.599,0.581,0.564,0.587,0.591,0.6,0.542,0.522,0.542,0.554,0.553,0.58,0.488,0.537,0.585
29,LSU,0.486,0.525,0.514,0.563,0.505,0.489,0.482,0.455,0.453,0.44,0.49,0.405,0.445,0.407,0.452,0.439,0.466,0.47,0.492,0.531,0.478,0.443,0.484,0.517,0.544,0.52
30,Akron,0.486,0.545,0.455,0.556,0.554,0.557,0.571,0.539,0.579,0.514,0.509,0.492,0.478,0.514,0.523,0.501,0.467,0.485,0.456,0.453,0.511,0.442,0.433,0.461,0.412,0.465
31,Florida St,0.487,0.561,0.539,0.536,0.568,0.597,0.557,0.541,0.535,0.515,0.525,0.476,0.473,0.55,0.494,0.537,0.488,0.516,0.511,0.495,0.487,0.438,0.445,0.514,0.551,0.554
32,Oregon,0.487,0.5,0.487,0.474,0.456,0.453,0.519,0.576,0.469,0.501,0.533,0.535,0.55,0.566,0.499,0.475,0.504,0.477,0.522,0.491,0.51,0.551,0.532,0.547,0.501,0.509
33,Jksnville St,0.487,0.562,0.439,0.507,0.43,0.488,0.538,0.544,0.554,0.554,0.583,0.51,0.554,0.561,0.579,0.531,0.521,0.556,0.488,0.493,0.51,0.487,0.55,0.524,0.543,0.575
34,Southern,0.488,0.49,0.438,0.592,0.562,0.551,0.529,0.53,0.474,0.523,0.578,0.509,0.562,0.559,0.42,0.423,0.422,0.454,0.495,0.441,0.492,0.507,0.428,0.473,0.495,0.602
35,Alcorn State,0.489,0.485,0.499,0.524,0.57,0.6,0.55,0.553,0.496,0.538,0.454,0.559,0.637,0.603,0.508,0.512,0.535,0.508,0.533,0.557,0.59,0.614,0.515,0.580,0.558,0.589
36,Bucknell,0.49,0.55,0.52,0.504,0.534,0.574,0.592,0.535,0.556,0.555,0.545,0.544,0.529,0.565,0.527,0.485,0.491,0.463,0.574,0.493,0.492,0.498,0.494,0.551,0.531,0.555
37,Florida,0.491,0.561,0.548,0.549,0.601,0.599,0.597,0.476,0.479,0.458,0.522,0.512,0.522,0.483,0.515,0.509,0.478,0.517,0.476,0.409,0.474,0.483,0.483,0.513,0.491,0.446
38,AR Lit Rock,0.492,0.495,0.557,0.507,0.522,0.499,0.499,0.533,0.509,0.555,0.536,0.555,0.612,0.549,0.549,0.513,0.574,0.522,0.522,0.535,0.571,0.542,0.497,0.543,0.576,0.533
39,Ark Pine Bl,0.492,0.482,0.527,0.545,0.584,0.575,0.559,0.561,0.51,0.538,0.473,0.555,0.562,0.64,0.549,0.654,0.634,0.59,0.59,0.594,0.588,0.552,0.576,0.594,0.54,0.6
40,Wm & Mary,0.492,0.462,0.528,0.528,0.596,0.623,0.564,0.58,0.602,0.565,0.561,0.545,0.576,0.551,0.524,0.503,0.468,0.553,0.505,0.499,0.504,0.481,0.446,0.527,0.523,0.486
41,W Michigan,0.492,0.483,0.526,0.526,0.486,0.489,0.505,0.529,0.552,0.525,0.545,0.55,0.537,0.507,0.547,0.558,0.526,0.527,0.54,0.523,0.518,0.503,0.467,0.427,0.488,0.552
42,IL-Chicago,0.493,0.593,0.553,0.618,0.561,0.587,0.627,0.571,0.588,0.583,0.58,0.587,0.588,0.536,0.531,0.552,0.554,0.617,0.604,0.505,0.586,0.531,0.565,0.445,0.435,0.553
43,Howard,0.493,0.548,0.57,0.549,0.488,0.565,0.503,0.566,0.536,0.516,0.552,0.486,0.487,0.624,0.573,0.536,0.592,0.609,0.514,0.573,0.557,0.536,0.616,0.650,0.48,0.475
44,S Carolina,0.494,0.551,0.593,0.533,0.542,0.574,0.559,0.556,0.568,0.572,0.547,0.501,0.502,0.539,0.609,0.551,0.559,0.516,0.561,0.458,0.511,0.503,0.543,0.548,0.555,0.544
45,Boston U,0.494,0.605,0.567,0.575,0.55,0.559,0.554,0.587,0.504,0.531,0.569,0.56,0.547,0.539,0.55,0.501,0.53,0.623,0.55,0.572,0.519,0.529,0.458,0.477,0.479,0.496
46,NC State,0.494,0.542,0.531,0.515,0.548,0.54,0.522,0.504,0.544,0.506,0.443,0.444,0.488,0.459,0.478,0.456,0.477,0.515,0.531,0.49,0.503,0.521,0.434,0.508,0.528,0.458
47,S Utah,0.496,0.588,0.637,0.667,0.644,0.687,0.645,0.573,0.527,0.488,0.575,0.498,0.544,0.493,0.47,0.526,0.467,0.501,0.475,0.554,0.451,0.496,0.504,0.513,0.476,0.478
48,Boston Col,0.496,0.534,0.492,0.518,0.525,0.569,0.531,0.569,0.521,0.523,0.533,0.492,0.475,0.516,0.529,0.487,0.474,0.535,0.587,0.58,0.515,0.542,0.524,0.501,0.506,0.49
49,Washington,0.497,0.495,0.569,0.538,0.516,0.554,0.566,0.559,0.588,0.552,0.542,0.485,0.463,0.456,0.508,0.508,0.45,0.478,0.463,0.523,0.601,0.586,0.604,0.572,0.543,0.603
50,Wake Forest,0.499,0.533,0.528,0.516,0.533,0.507,0.548,0.526,0.566,0.539,0.53,0.475,0.48,0.561,0.527,0.513,0.513,0.52,0.46,0.527,0.571,0.566,0.498,0.539,0.489,0.462
51,Oklahoma St,0.5,0.511,0.531,0.52,0.51,0.52,0.545,0.568,0.54,0.536,0.463,0.489,0.494,0.52,0.501,0.464,0.467,0.525,0.495,0.517,0.509,0.551,0.569,0.483,0.51,0.522
52,Wash State,0.501,0.527,0.59,0.541,0.557,0.536,0.538,0.537,0.552,0.46,0.517,0.514,0.531,0.574,0.599,0.564,0.498,0.48,0.456,0.516,0.514,0.532,0.448,0.559,0.481,0.482
53,Vanderbilt,0.501,0.574,0.511,0.55,0.534,0.505,0.541,0.47,0.515,0.535,0.491,0.504,0.48,0.462,0.47,0.494,0.481,0.492,0.438,0.463,0.467,0.472,0.507,0.526,0.553,0.496
54,Montana St,0.502,0.593,0.581,0.556,0.531,0.51,0.492,0.606,0.537,0.543,0.508,0.533,0.515,0.49,0.531,0.549,0.516,0.541,0.492,0.499,0.466,0.538,0.504,0.439,0.405,0.402
55,Mississippi,0.503,0.518,0.53,0.459,0.52,0.53,0.547,0.562,0.513,0.548,0.556,0.564,0.565,0.598,0.617,0.546,0.602,0.635,0.589,0.594,0.623,0.552,0.552,0.584,0.596,0.56
56,St Johns,0.503,0.598,0.635,0.577,0.573,0.541,0.651,0.576,0.568,0.558,0.533,0.554,0.554,0.666,0.622,0.558,0.514,0.565,0.549,0.548,0.589,0.542,0.576,0.524,0.505,0.575
57,Radford,0.505,0.523,0.522,0.547,0.532,0.571,0.528,0.531,0.547,0.596,0.61,0.543,0.559,0.634,0.501,0.509,0.442,0.455,0.457,0.461,0.508,0.506,0.536,0.493,0.487,0.48
58,Lamar,0.506,0.609,0.581,0.589,0.584,0.595,0.601,0.642,0.572,0.627,0.557,0.576,0.58,0.527,0.504,0.544,0.555,0.599,0.602,0.543,0.528,0.603,0.531,0.562,0.677,0.644
59,LA Tech,0.506,0.563,0.493,0.44,0.534,0.539,0.571,0.522,0.53,0.547,0.527,0.542,0.491,0.544,0.478,0.459,0.43,0.498,0.514,0.57,0.522,0.55,0.502,0.508,0.501,0.6
60,E Carolina,0.507,0.547,0.534,0.562,0.568,0.511,0.576,0.569,0.639,0.631,0.576,0.614,0.586,0.555,0.576,0.588,0.566,0.57,0.632,0.532,0.582,0.543,0.566,0.567,0.61,0.499
61,Pacific,0.508,0.576,0.612,0.548,0.525,0.508,0.524,0.516,0.528,0.585,0.515,0.586,0.499,0.555,0.575,0.554,0.596,0.598,0.539,0.601,0.576,0.487,0.413,0.499,0.491,0.489
62,Boise State,0.508,0.533,0.483,0.512,0.524,0.455,0.473,0.509,0.477,0.465,0.503,0.455,0.493,0.507,0.549,0.564,0.473,0.495,0.493,0.493,0.52,0.526,0.453,0.462,0.435,0.457
63,TX Christian,0.509,0.552,0.582,0.594,0.613,0.614,0.57,0.623,0.652,0.619,0.649,0.543,0.576,0.576,0.58,0.545,0.623,0.507,0.603,0.583,0.572,0.598,0.622,0.588,0.542,0.551
64,Miami (OH),0.511,0.536,0.517,0.514,0.532,0.524,0.507,0.491,0.502,0.472,0.466,0.507,0.547,0.541,0.505,0.59,0.607,0.528,0.561,0.493,0.461,0.493,0.465,0.524,0.508,0.499
65,E Michigan,0.512,0.587,0.575,0.499,0.486,0.488,0.555,0.55,0.566,0.564,0.554,0.567,0.555,0.549,0.679,0.723,0.629,0.64,0.587,0.645,0.629,0.691,0.653,0.642,0.456,0.473
66,St Marys,0.512,0.542,0.547,0.565,0.465,0.469,0.449,0.439,0.459,0.434,0.38,0.437,0.386,0.434,0.494,0.488,0.46,0.558,0.467,0.402,0.48,0.43,0.393,0.384,0.367,0.373
67,Gonzaga,0.514,0.529,0.561,0.526,0.5,0.572,0.564,0.637,0.537,0.548,0.509,0.519,0.512,0.478,0.482,0.477,0.483,0.438,0.434,0.432,0.462,0.414,0.434,0.449,0.413,0.463
68,Rider,0.514,0.569,0.61,0.548,0.587,0.677,0.633,0.588,0.645,0.534,0.55,0.531,0.569,0.565,0.615,0.523,0.547,0.568,0.545,0.523,0.565,0.577,0.527,0.536,0.551,0.522
69,New Mexico,0.514,0.501,0.526,0.523,0.558,0.599,0.607,0.573,0.626,0.594,0.635,0.59,0.567,0.549,0.533,0.578,0.5,0.597,0.56,0.569,0.491,0.556,0.588,0.578,0.522,0.524
70,Michigan St,0.516,0.516,0.537,0.588,0.562,0.545,0.515,0.537,0.563,0.574,0.561,0.527,0.557,0.513,0.525,0.51,0.496,0.491,0.487,0.536,0.541,0.523,0.557,0.535,0.514,0.536
71,N Carolina,0.517,0.527,0.541,0.536,0.488,0.532,0.562,0.547,0.521,0.529,0.503,0.509,0.541,0.5,0.465,0.473,0.462,0.524,0.437,0.469,0.557,0.542,0.54,0.512,0.475,0.42
72,Delaware,0.518,0.494,0.521,0.517,0.504,0.522,0.515,0.507,0.528,0.576,0.48,0.482,0.538,0.468,0.429,0.514,0.442,0.566,0.624,0.601,0.522,0.518,0.5,0.434,0.454,0.537
73,San Francisco,0.518,0.614,0.563,0.583,0.578,0.543,0.566,0.524,0.579,0.569,0.528,0.558,0.551,0.533,0.565,0.45,0.465,0.532,0.524,0.483,0.425,0.433,0.425,0.461,0.437,0.452
74,Murray St,0.519,0.562,0.532,0.592,0.577,0.537,0.558,0.613,0.586,0.606,0.624,0.53,0.517,0.513,0.464,0.529,0.46,0.51,0.51,0.496,0.422,0.454,0.459,0.462,0.455,0.529
75,Wichita St,0.519,0.594,0.537,0.565,0.495,0.479,0.494,0.458,0.576,0.512,0.574,0.544,0.515,0.463,0.494,0.516,0.479,0.451,0.482,0.495,0.44,0.498,0.469,0.515,0.523,0.569
76,Charlotte,0.519,0.536,0.548,0.531,0.536,0.548,0.548,0.553,0.613,0.539,0.569,0.55,0.54,0.549,0.566,0.51,0.477,0.526,0.456,0.465,0.492,0.526,0.501,0.528,0.467,0.415
77,Kansas,0.52,0.524,0.592,0.55,0.525,0.488,0.532,0.492,0.587,0.526,0.533,0.568,0.551,0.497,0.528,0.506,0.513,0.487,0.475,0.499,0.485,0.527,0.526,0.481,0.483,0.465
78,E Washingtn,0.52,0.616,0.5,0.558,0.543,0.48,0.505,0.535,0.519,0.57,0.618,0.538,0.499,0.58,0.587,0.612,0.53,0.57,0.518,0.514,0.524,0.515,0.546,0.445,0.474,0.498
79,W Virginia,0.521,0.579,0.621,0.581,0.549,0.562,0.559,0.564,0.553,0.558,0.516,0.521,0.523,0.488,0.506,0.592,0.523,0.533,0.511,0.535,0.553,0.503,0.476,0.527,0.532,0.504
80,Connecticut,0.521,0.518,0.581,0.605,0.558,0.543,0.511,0.581,0.501,0.486,0.524,0.515,0.507,0.516,0.52,0.51,0.523,0.509,0.521,0.541,0.547,0.529,0.5,0.471,0.445,0.417
81,Georgia,0.522,0.553,0.493,0.501,0.567,0.546,0.596,0.53,0.528,0.547,0.522,0.533,0.462,0.399,0.485,0.49,0.44,0.476,0.5,0.48,0.446,0.453,0.463,0.480,0.562,0.558
82,Delaware St,0.522,0.523,0.515,0.497,0.476,0.465,0.493,0.522,0.502,0.498,0.543,0.564,0.527,0.541,0.553,0.585,0.585,0.55,0.613,0.598,0.567,0.589,0.571,0.557,0.639,0.626
83,Colgate,0.522,0.506,0.526,0.52,0.471,0.503,0.491,0.483,0.534,0.521,0.503,0.479,0.591,0.564,0.491,0.539,0.475,0.497,0.525,0.54,0.524,0.518,0.501,0.424,0.538,0.541
84,New Orleans,0.522,0.608,0.611,0.564,0.538,0.49,0.499,0.533,0.599,0.531,0.513,0.496,0.569,,,0.573,0.569,0.507,0.567,0.513,0.547,0.536,0.563,0.492,0.564,0.494
85,Richmond,0.522,0.456,0.521,0.488,0.548,0.513,0.556,0.596,0.491,0.587,0.554,0.495,0.456,0.499,0.472,0.507,0.463,0.426,0.508,0.53,0.534,0.481,0.474,0.468,0.494,0.498
86,Ohio,0.523,0.483,0.524,0.51,0.561,0.516,0.552,0.544,0.523,0.571,0.581,0.573,0.567,0.544,0.536,0.549,0.498,0.459,0.446,0.44,0.46,0.517,0.476,0.527,0.458,0.467
87,Iona,0.523,0.508,0.486,0.539,0.529,0.537,0.588,0.582,0.514,0.547,0.581,0.529,0.514,0.497,0.536,0.561,0.501,0.541,0.534,0.53,0.521,0.554,0.584,0.534,0.474,0.516
88,E Tenn St,0.523,0.527,0.571,0.553,0.583,0.609,0.577,0.599,0.578,0.577,0.598,0.526,0.58,0.531,0.593,0.654,0.56,0.624,0.467,0.476,0.486,0.519,0.471,0.562,0.558,0.511
89,Hawaii,0.523,0.529,0.541,0.517,0.481,0.465,0.468,0.542,0.46,0.459,0.515,0.502,0.508,0.542,0.561,0.557,0.471,0.559,0.479,0.446,0.414,0.454,0.381,0.412,0.379,0.329
90,Hampton,0.523,0.501,0.456,0.506,0.512,0.492,0.525,0.52,0.544,0.575,0.534,0.517,0.502,0.464,0.497,0.499,0.451,0.459,0.424,0.447,0.503,0.513,0.54,0.499,0.454,0.548
91,TN Tech,0.524,0.569,0.568,0.61,0.539,0.631,0.666,0.564,0.543,0.577,0.546,0.51,0.556,0.568,0.534,0.544,0.507,0.519,0.542,0.602,0.533,0.597,0.597,0.631,0.624,0.569
92,W Kentucky,0.525,0.575,0.547,0.526,0.458,0.498,0.553,0.52,0.542,0.513,0.529,0.533,0.469,0.504,0.491,0.449,0.463,0.511,0.519,0.553,0.528,0.52,0.473,0.499,0.596,0.517
93,Lafayette,0.525,0.567,0.557,0.558,0.57,0.597,0.516,0.524,0.505,0.596,0.508,0.506,0.515,0.525,0.489,0.529,0.521,0.52,0.528,0.556,0.457,0.447,0.438,0.479,0.521,0.553
94,Mercer,0.526,0.564,0.573,0.537,0.596,0.54,0.555,0.535,0.535,0.602,0.578,0.52,0.493,0.509,0.478,0.524,0.523,0.568,0.58,0.595,0.621,0.531,0.509,0.451,0.517,0.455
