Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
Texas St.,35,2309,66.0,346,411,0.84,9.9,685,19.57,124,3.5,0.482,269,7.69,848,1918,44.21,800,1799,44.469,630,18.0,15,459,630,18.0,72.86,1143,32.7,1078,30.8,1,784,22.4,359,10.26,2334,66.7,0,220,6.3,154,501,30.74,598,216,36.1,4.4,0.5,427,12.2,411,11.7,16,19,45.7
Central Conn. St.,32,2111,66.0,413,380,1.09,12.9,617,19.28,122,3.8,0.481,217,6.78,791,1874,42.21,821,1836,44.717,451,14.1,3,310,437,13.7,70.94,1092,34.1,1116,34.9,0,768,24.0,324,10.12,2245,70.2,-4,179,5.6,219,669,32.74,683,242,35.4,6.8,-0.9,350,10.94,380,11.9,10,22,31.2
Central Mich.,31,2038,65.7,333,494,0.67,10.7,575,18.55,118,3.8,0.472,292,9.42,702,1688,41.59,769,1757,43.768,614,19.8,20,443,642,20.7,69.0,1096,35.4,1106,35.7,0,753,24.29,343,11.06,2263,73.0,-7,181,5.8,191,637,29.98,735,255,34.7,6.2,-2.5,415,13.39,494,15.9,10,21,32.3
Arkansas St.,33,2169,65.7,433,385,1.12,13.1,570,17.27,108,3.3,0.49,236,7.15,777,1799,43.19,778,1776,43.806,553,16.8,10,406,600,18.2,67.67,1108,33.6,1093,33.1,0,783,23.73,325,9.85,2232,67.6,-1,220,6.7,209,593,35.24,596,219,36.7,6.3,-0.1,382,11.58,385,11.7,13,20,39.4
Mississippi St.,34,2234,65.7,482,434,1.11,14.2,608,17.88,117,3.4,0.467,298,8.76,816,1936,42.15,728,1849,39.373,517,15.2,6,424,655,19.3,64.73,1288,37.9,1138,33.5,4,848,24.94,440,12.94,2073,61.0,4,293,8.6,178,669,26.61,809,252,31.1,5.2,1.5,486,14.29,434,12.8,21,13,61.8
Southern Ill.,33,2168,65.7,459,414,1.11,13.9,606,18.36,70,2.1,0.524,326,9.88,769,1716,44.81,743,1769,42.001,539,16.3,6,371,513,15.5,72.32,1040,31.5,1067,32.3,0,812,24.61,228,6.91,2026,61.4,4,238,7.2,259,795,32.58,609,201,33.0,7.8,0.4,428,12.97,414,12.5,23,10,69.7
Missouri St.,32,2098,65.6,374,393,0.95,11.7,709,22.16,140,4.4,0.506,268,8.38,772,1776,43.47,722,1701,42.446,497,15.5,8,300,479,15.0,62.63,1124,35.1,997,31.2,3,761,23.78,363,11.34,2021,63.2,2,199,6.2,254,767,33.12,660,214,32.4,7.9,-0.4,380,11.88,393,12.3,17,15,53.1
Elon,32,2094,65.4,389,395,0.98,12.2,471,14.72,69,2.2,0.486,286,8.94,762,1791,42.55,815,1869,43.606,515,16.1,6,352,497,15.5,70.82,1079,33.7,1152,36.0,-2,798,24.94,281,8.78,2291,71.6,-6,196,6.1,218,722,30.19,843,291,34.5,6.8,-0.8,368,11.5,395,12.3,8,24,25.0
American,32,2093,65.4,436,448,0.97,13.6,612,19.12,126,3.9,0.544,161,5.03,785,1630,48.16,754,1665,45.285,482,15.1,3,319,455,14.2,70.11,970,30.3,931,29.1,1,711,22.22,259,8.09,2110,65.9,0,238,7.4,204,589,34.63,561,216,38.5,6.4,-1.8,390,12.19,448,14.0,17,15,53.1
Northeastern,30,1959,65.3,377,432,0.87,12.6,711,23.7,123,4.1,0.48,169,5.63,712,1704,41.78,787,1750,44.971,500,16.7,8,324,473,15.8,68.5,1081,36.0,988,32.9,3,750,25.0,331,11.03,2150,71.7,-6,149,5.0,211,635,33.23,516,180,34.9,7.0,-4.6,293,9.77,432,14.4,10,20,33.3
