,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
295,Fla Atlantic,7.6%,5.2%,7.0%,6.4%,7.3%,8.1%,6.2%,6.9%,4.7%,4.5%,6.2%,4.9%,7.1%,6.2%,8.2%,6.9%,5.9%,7.3%,7.8%,5.3%,4.7%,4.0%,4.0%,4.9%,5.2%,4.0%
296,Morehead St,7.6%,6.3%,6.6%,7.2%,6.9%,6.1%,4.5%,7.7%,9.3%,6.2%,6.5%,7.3%,6.3%,5.4%,6.2%,7.0%,9.0%,8.7%,7.3%,6.0%,6.6%,8.2%,8.2%,6.0%,5.9%,6.0%
297,American,7.7%,8.3%,8.9%,6.9%,5.8%,5.9%,5.7%,5.1%,6.0%,6.2%,7.9%,6.3%,5.6%,4.1%,5.2%,7.4%,5.2%,6.2%,5.0%,5.4%,6.7%,6.0%,5.5%,4.5%,5.9%,4.6%
298,Siena,7.7%,6.1%,5.7%,5.9%,6.8%,7.3%,6.4%,8.5%,7.3%,5.3%,6.0%,5.9%,5.5%,7.9%,6.7%,8.8%,9.2%,7.7%,6.2%,6.4%,5.8%,4.3%,6.6%,5.1%,5.6%,5.7%
299,Delaware St,7.8%,5.6%,7.0%,6.4%,6.6%,4.6%,5.4%,6.4%,4.4%,4.9%,5.1%,5.4%,6.0%,5.9%,6.3%,6.4%,7.9%,6.6%,5.7%,5.8%,6.3%,7.0%,5.5%,7.0%,6.6%,6.3%
300,NC A&T,7.8%,7.4%,5.7%,6.1%,5.5%,8.0%,6.8%,5.9%,5.6%,5.6%,7.1%,6.3%,6.0%,8.3%,8.1%,7.0%,7.8%,5.0%,5.4%,7.4%,5.4%,6.2%,5.5%,7.2%,4.2%,5.0%
301,Norfolk St,7.9%,4.7%,4.1%,6.2%,5.5%,6.5%,5.2%,5.8%,5.9%,5.4%,5.2%,4.9%,6.7%,5.6%,5.6%,7.2%,6.4%,6.7%,6.4%,6.8%,5.9%,5.9%,5.5%,6.7%,6.3%,5.0%
302,Fordham,8.0%,8.2%,6.4%,5.6%,5.3%,6.0%,5.1%,5.9%,5.3%,6.6%,4.8%,5.5%,6.4%,5.9%,7.1%,6.8%,5.5%,5.7%,5.4%,6.6%,6.0%,5.0%,4.9%,5.2%,5.5%,5.3%
303,Wagner,8.4%,6.3%,5.5%,5.8%,3.9%,4.8%,5.3%,4.9%,5.5%,5.4%,4.4%,5.4%,5.8%,5.0%,6.6%,6.5%,6.7%,8.0%,5.6%,4.5%,6.4%,5.4%,5.7%,6.0%,5.2%,6.9%
304,S Carolina,8.4%,7.0%,5.5%,5.7%,3.9%,4.0%,4.5%,5.4%,4.7%,7.7%,5.6%,7.2%,5.8%,5.2%,7.8%,8.8%,8.9%,7.7%,7.7%,6.5%,9.2%,6.8%,5.9%,6.8%,5.5%,6.1%
305,Maryland ES,8.5%,6.3%,6.2%,5.1%,5.2%,5.9%,4.5%,4.7%,5.7%,6.2%,8.1%,6.8%,5.5%,6.4%,6.8%,8.5%,5.8%,6.3%,6.6%,6.0%,6.0%,6.0%,6.4%,--,6.0%,6.3%
306,Hampton,8.5%,6.6%,4.5%,4.2%,4.4%,5.2%,4.0%,5.9%,5.6%,5.5%,5.4%,6.3%,4.7%,5.8%,4.6%,7.5%,6.5%,6.7%,6.7%,5.6%,5.7%,5.6%,5.0%,4.7%,5.6%,6.0%
307,Lehigh,8.9%,7.6%,7.1%,6.4%,5.8%,5.1%,5.9%,5.9%,5.3%,5.5%,5.2%,5.4%,6.1%,7.0%,6.7%,5.8%,7.3%,5.1%,6.7%,4.6%,5.6%,6.3%,6.1%,5.4%,7.2%,5.4%
308,LSU,8.9%,4.7%,3.7%,4.6%,5.1%,4.4%,5.6%,4.8%,7.4%,5.4%,6.5%,5.3%,7.1%,7.7%,6.8%,7.0%,6.1%,6.2%,5.5%,5.9%,5.9%,5.2%,5.4%,5.8%,5.8%,6.3%
309,High Point,,4.6%,5.2%,5.6%,7.2%,6.7%,6.9%,7.0%,4.9%,6.1%,5.6%,6.4%,8.0%,7.3%,5.8%,5.5%,4.8%,4.9%,6.4%,7.2%,8.4%,7.1%,6.5%,7.5%,6.2%,5.3%
310,Oakland,,4.9%,4.4%,5.3%,5.6%,4.1%,3.5%,4.8%,4.6%,6.6%,5.9%,4.4%,5.9%,4.4%,5.8%,7.2%,6.3%,5.4%,5.2%,5.6%,7.2%,5.4%,5.2%,5.9%,5.5%,5.0%
311,Alab A&M,,6.1%,4.9%,6.0%,5.3%,6.9%,4.5%,6.1%,5.3%,6.8%,9.7%,6.8%,9.3%,7.6%,7.8%,6.3%,6.0%,5.6%,5.1%,6.5%,8.9%,6.0%,7.6%,4.6%,5.0%,6.5%
